DLPS,ESTC,DocNo,TCP,GaleDocNo
004802236,T33340,CW124744283,K036062.000,CW3324744283
004787398,N6903,CW107944955,K004179.000,CW3307944955
004842866,T69297,CW100126269,K059103.000,CW3300126269
004899921,T45281,CW106438863,K043092.000,CW3306438863
004797759,T26350,CW108527500,K032080.005,CW3308362386
004798205,T27111,CW118280288,K032473.000,CW3318280288
004896127,T144534,CW112212382,K112507.000,CW3312212382
004846613,T74605,CW114331480,K062861.000,CW3314331480
004778553,N23252,CW110734233,K013509.000,CW3310734233
004809418,T5856,CW111673891,K023272.000,CW3311673891
004796563,T226,CW117025254,K019945.000,CW3317025254
004897129,T145965,CW102877464,K113510.004,CW3302878475
004796832,T236,CW116666942,K019955.000,CW3316666942
004875989,T115293,CW113538096,K092301.000,CW3313538096
004809407,T5844,CW104144685,K023262.000,CW3304144685
004783012,N36616,CW113889850,K017108.000,CW3313889850
004852015,T83743,CW115469194,K068278.000,CW3315469194
004792564,T14790,CW110887383,K027697.001,CW3310887383
004795754,T21236,CW111705458,K030424.000,CW3311705458
004842924,T69379,CW118369949,K059161.000,CW3318369949
004818520,T182073,CW123417711,K122645.000,CW3323417711
004831581,T53058,CW106612051,K047797.000,CW3306612051
004792348,T14538,CW110255605,K027505.000,CW3310255605
004832790,T54922,CW107367189,K049006.000,CW3307367189
004865475,T101624,CW119114539,K081759.000,CW3319114539
004859666,T94038,CW107306173,K075940.000,CW3307306173
004832005,T53655,CW110068268,K048221.000,CW3310068268
004895036,T142050,CW101311176,K111411.000,CW3301311176
004810204,T8434,CW118444811,K024142.000,CW3318444811
004847790,T76763,CW112276820,K064046.000,CW3312276820
004778967,N23987,CW112079632,K013872.000,CW3312079632
004859352,T93645,CW114673272,K075625.000,CW3314673272
004846762,T75001,CW113730663,K063010.000,CW3313730663
004778073,N22487,CW108207236,K013093.000,CW3308207236
004857184,T90495,CW120640638,K073454.000,CW3320640638
004814111,T164379,CW117095272,K118217.000,CW3317095272
004857836,T91336,CW118248282,K074107.002,CW3318339020
004884515,T126441,CW110426959,K100834.000,CW3310426959
004833905,T56643,CW110070692,K050122.000,CW3310070692
004903530,T51118,CW112963751,K046707.000,CW3312963751
