DLPS,ESTC,DocNo,TCP,GaleDocNo
004844701,T71886,CW109637647,K060946.002,CW3309637932
004846697,T74903,CW115011991,K062945.000,CW3315011991
004833363,T55657,CW107109522,K049579.000,CW3307109522
004864381,T100223,CW108361572,K080662.002,CW3308527405
004783507,N3962,CW112519693,K002563.000,CW3312519693
004842818,T69163,CW118820775,K059055.000,CW3318820775
004875854,T115132,CW110896459,K092165.002,CW3310896633
004890413,T134770,CW116474202,K106754.002,CW3316474448
004806075,T39611,CW111512492,K039838.000,CW3311512492
004856416,T89526,CW111512578,K072686.000,CW3311512578
004807321,T41555,CW106815149,K040929.000,CW3306815149
004893787,T139693,CW100308353,K110147.000,CW3300308353
004889223,T133175,CW114184007,K105560.000,CW3314184007
004809279,T5688,CW120166735,K023148.000,CW3320166735
004880992,T121678,CW107061039,K097310.004,CW3307061583
004850545,T81514,CW115438844,K066805.000,CW3315438844
004848826,T78366,CW100611167,K065082.006,CW3300411015
004809177,T5572,CW110017338,K023052.000,CW3310017338
004910378,T223142,CW109590508,K131145.000,CW3309590508
004885955,T128520,CW112252404,K102279.000,CW3312252404
004797759,T26350,CW108527500,K032080.001,CW3308527500
004902755,T49644,CW106144111,K045928.000,CW3306144111
004798010,T26852,CW109715550,K032302.000,CW3309715550
004772448,N13221,CW116606049,K008158.001,CW3316606049
004845840,T73501,CW110688788,K062088.002,CW3311129605
004834471,T57520,CW104471975,K050688.000,CW3304471975
004900927,T46885,CW110427704,K044098.000,CW3310427704
004891467,T136411,CW100109165,K107811.001,CW3300109165
004882582,T123917,CW104468190,K098900.002,CW3304503139
004901707,T47972,CW110245093,K044879.000,CW3310245093
004886915,T129881,CW123044999,K103240.000,CW3323044999
004775582,N17948,CW112050543,K010938.000,CW3312050543
004849347,T79309,CW106610395,K065604.000,CW3306610395
004795250,T20385,CW114303181,K029984.000,CW3314303181
004897705,T146800,CW120345923,K114088.002,CW3320279997
004883156,T124716,CW115616842,K099474.000,CW3315616842
004893876,T139809,CW110673864,K110238.003,CW3310674079
004853684,T85824,CW117606045,K069951.000,CW3317606045
004894019,T140006,CW113726929,K110382.000,CW3313726929
004837188,T61470,CW101534748,K053415.002,CW3301535045
004827806,T225503,CW116216719,K132088.000,CW3316216719
004900860,T46789,CW106287210,K044031.000,CW3306287210
004858361,T92239,CW113303931,K074632.000,CW3313303931
004884653,T126622,CW108233293,K100972.000,CW3308233293
004841295,T66944,CW109130699,K057527.002,CW3309130950
004842623,T68887,CW110625119,K058856.000,CW3310625119
004776656,N20009,CW106503842,K011869.000,CW3306503842
004836775,T60863,CW122440565,K052994.004,CW3322441072
004845971,T73643,CW110395226,K062219.000,CW3310395226
004879601,T119711,CW113619138,K095919.002,CW3313619374
004804677,T37426,CW112694878,K038460.000,CW3312694878
004807124,T41234,CW110293016,K040756.000,CW3310293016
004780284,N26811,CW106035634,K014996.000,CW3306035634
004776768,N203,CW110974630,K000122.000,CW3310974630
004811793,T151754,CW109322679,K115892.000,CW3309322679
004868572,T105614,CW116190587,K084861.001,CW3316190587
004796386,T22329,CW106046800,K030995.000,CW3306046800
004801882,T32801,CW112963774,K035752.000,CW3312963774
004841295,T66944,CW109130699,K057527.003,CW3309691384
004802750,T34210,CW106676578,K036550.000,CW3306676578
004827600,T224688,CW116204561,K131881.000,CW3316204561
004861571,T96668,CW105124089,K077848.002,CW3305124089
004809339,T5762,CW113385661,K023201.000,CW3313385661
004896799,T145497,CW108945423,K113180.001,CW3308945423
004813155,T160256,CW106534014,K117258.000,CW3306534014
004796928,T2459,CW113787958,K021519.000,CW3313787958
004852272,T84034,CW103850141,K068536.000,CW3303850141
004796917,T2448,CW110780965,K021509.000,CW3310780965
004846554,T74530,CW111222619,K062802.000,CW3311222619
004893876,T139809,CW110673864,K110238.002,CW3311122312
004788856,N9405,CW117856459,K005472.000,CW3317856459
004779346,N24849,CW116560458,K014201.000,CW3316560458
004857480,T90894,CW119104347,K073751.000,CW3319104347
004882582,T123917,CW104468190,K098900.003,CW3304468585
004810510,T9127,CW106814821,K024396.000,CW3306814821
004850273,T81106,CW121393304,K066533.000,CW3321393304
004807597,T41970,CW116495985,K041177.000,CW3316495985
004843874,T70816,CW106555984,K060117.000,CW3306555984
004845840,T73501,CW110688788,K062088.003,CW3310689063
004887584,T130916,CW111899461,K103915.002,CW3309634902
004772839,N13781,CW111078742,K008503.000,CW3311078742
004861386,T96443,CW114627585,K077663.000,CW3314627585
004804577,T37270,CW108249581,K038362.000,CW3308249581
004840432,T65913,CW104892499,K056661.000,CW3304892499
004903824,T51741,CW112448476,K047002.000,CW3312448476
004840480,T65975,CW109732898,K056709.000,CW3309732898
004774210,N15478,CW116873516,K009746.000,CW3316873516
004836842,T60939,CW110859756,K053061.002,CW3310860002
004897129,T145965,CW102877464,K113510.001,CW3302877464
004772653,N13540,CW108567047,K008334.000,CW3308567047
004890413,T134770,CW116474202,K106754.003,CW3316474705
004841487,T67189,CW114852710,K057720.000,CW3314852710
004844739,T71930,CW104682743,K060984.000,CW3304682743
004809110,T5497,CW124670202,K022990.001,CW3324670202
004864381,T100223,CW108361572,K080662.003,CW3308361710
004902179,T48811,CW110606245,K045351.000,CW3310606245
004803124,T34841,CW111745815,K036921.000,CW3311745815
004773217,N14258,CW106091931,K008857.001,CW3306091931
004773979,N15158,CW114838868,K009548.000,CW3314838868
004872870,T111046,CW125447990,K089167.000,CW3325447990
004800947,T31454,CW102892000,K034904.000,CW3302892000
004880556,T121104,CW108844035,K096874.000,CW3308844035
004875521,T114720,CW102026143,K091832.000,CW3302026143
004897698,T146792,CW113086057,K114081.000,CW3313086057
004848318,T77548,CW123369305,K064574.000,CW3323369305
004853539,T85645,CW106967881,K069806.000,CW3306967881
004846500,T74465,CW104312519,K062748.001,CW3304312519
004803201,T34966,CW106961880,K036998.000,CW3306961880
004809055,T5432,CW115091181,K022939.001,CW3315091181
004889634,T133752,CW100467810,K105973.001,CW3300467810
004782554,N3449,CW108190381,K002213.000,CW3308190381
004876766,T116245,CW112092927,K093079.002,CW3311995422
004900028,T45450,CW114722421,K043199.000,CW3314722421
004808172,T42751,CW112954030,K041691.000,CW3312954030
004833141,T55366,CW115601118,K049357.002,CW3315601464
004854797,T87422,CW110493607,K071066.001,CW3310493607
004875755,T115019,CW105570287,K092066.000,CW3305570287
004861747,T96891,CW108360398,K078024.010,CW3308361450
004832004,T53654,CW110068312,K048220.000,CW3310068312
004895035,T142047,CW102358435,K111410.000,CW3302358435
004782202,N33217,CW116959626,K016527.004,CW3316960686
004810216,T8449,CW109748698,K024153.000,CW3309748698
004861747,T96891,CW108360398,K078024.004,CW3308360760
004815800,T172067,CW115667028,K119911.000,CW3315667028
004822925,T200766,CW117210596,K127086.001,CW3317210596
004796123,T21904,CW104602962,K030743.000,CW3304602962
004864140,T99923,CW103422368,K080421.002,CW3303422621
004894667,T141022,CW102373845,K111040.001,CW3302373845
004806861,T40804,CW117025004,K040521.000,CW3317025004
004903454,T50920,CW116957905,K046628.000,CW3316957905
004894051,T140064,CW115811323,K110414.003,CW3315811909
004900826,T46740,CW109162873,K043997.000,CW3309162873
004897225,T146096,CW108829870,K113606.003,CW3309563258
004854308,T86683,CW100397712,K070577.000,CW3300397712
004899995,T45411,CW106672839,K043166.000,CW3306672839
004895211,T142557,CW108658496,K111587.000,CW3308658496
004896229,T144686,CW102276200,K112609.001,CW3302276200
004821705,T194278,CW102990042,K125859.000,CW3302990042
004809943,T773,CW114239679,K020290.000,CW3314239679
004804778,T37612,CW106676499,K038561.000,CW3306676499
004892937,T138546,CW110664577,K109292.001,CW3310664577
004778914,N23890,CW111955646,K013825.000,CW3311955646
004834806,T58007,CW106967987,K051024.000,CW3306967987
004887788,T131186,CW113381541,K104119.000,CW3313381541
004861509,T96588,CW120395847,K077786.000,CW3320395847
004873093,T111486,CW110824914,K089396.000,CW3310824914
004892642,T138159,CW102746846,K108995.001,CW3302746846
004877129,T116663,CW116122603,K093442.000,CW3316122603
004809274,T5682,CW113881377,K023143.000,CW3313881377
004772607,N13484,CW116217636,K008295.002,CW3316217937
004897887,T147056,CW111810099,K114270.000,CW3311810099
004837680,T62068,CW114411031,K053907.002,CW3314411272
004888291,T131855,CW105845468,K104624.000,CW3305845468
004891397,T136306,CW115646323,K107740.000,CW3315646323
004843695,T70504,CW102560724,K059933.001,CW3302560724
004836009,T59731,CW111801632,K052227.005,CW3311802886
004874839,T113850,CW113212119,K091144.000,CW3313212119
004794919,T19820,CW110222267,K029698.000,CW3310222267
004809365,T5787,CW106059562,K023225.000,CW3306059562
004780302,N26855,CW106697825,K015012.000,CW3306697825
004909745,T6290,CW103471558,K023456.002,CW3303328968
004792533,T14758,CW110645573,K027670.002,CW3310645766
004846596,T74583,CW118520174,K062844.000,CW3318520174
004842140,T68184,CW104126910,K058373.000,CW3304126910
004892741,T138281,CW113047874,K109095.002,CW3312681523
004792522,T14747,CW116902156,K027660.002,CW3317222232
004810491,T9102,CW107232656,K024379.000,CW3307232656
004882959,T124435,CW112006726,K099277.001,CW3312006726
004896751,T145427,CW112697804,K113132.000,CW3312697804
004776265,N19354,CW103311835,K011519.000,CW3303311835
004798029,T26870,CW110075278,K032319.000,CW3310075278
004806357,T4005,CW121306056,K022118.000,CW3321306056
004851380,T82891,CW110493800,K067641.003,CW3312486259
004797541,T25992,CW112230070,K031892.000,CW3312230070
004803654,T35678,CW113793137,K037447.000,CW3313793137
004884083,T125844,CW114792807,K100402.000,CW3314792807
004815889,T172488,CW116862414,K120000.000,CW3316862414
004810902,T9714,CW114903886,K024732.000,CW3314903886
004816876,T176603,CW104857689,K120989.000,CW3304857689
004799404,T2892,CW102001200,K021793.003,CW3300806119
004809261,T5666,CW112919144,K023131.000,CW3312919144
004889135,T133048,CW113396504,K105471.000,CW3313396504
004809173,T5567,CW113094058,K023049.000,CW3313094058
004770431,N10604,CW104385285,K006305.000,CW3304385285
004843341,T70026,CW112951955,K059580.002,CW3312952221
004901347,T47533,CW118242111,K044519.000,CW3318242111
004802009,T32975,CW104441423,K035871.000,CW3304441423
004872938,T111156,CW100136564,K089235.000,CW3300136564
004784294,N4546,CW119043890,K002919.000,CW3319043890
004855734,T88607,CW101357180,K072003.000,CW3301357180
004809336,T5757,CW113134792,K023198.000,CW3313134792
004832636,T54550,CW120110109,K048852.000,CW3320110109
004805672,T38978,CW109728362,K039442.000,CW3309728362
004831091,W32284,CW107699789,K135834.000,CW3307699789
004858358,T92236,CW113112837,K074629.000,CW3313112837
004853555,T85664,CW123579875,K069822.000,CW3323579875
004793416,T1713,CW114903994,K020965.000,CW3314903994
004880522,T121065,CW114517806,K096840.000,CW3314517806
004794807,T19078,CW115816616,K029653.000,CW3315816616
004898469,T148130,CW117170174,K114854.000,CW3317170174
004847094,T75434,CW103925077,K063343.000,CW3303925077
004780273,N2679,CW108012816,K001755.000,CW3308012816
004771424,N11952,CW111591533,K007219.000,CW3311591533
004784964,N47902,CW107702760,K018267.001,CW3307702760
004790974,T12618,CW123100534,K026311.000,CW3323100534
004877341,T116936,CW106335747,K093655.002,CW3306335980
004877349,T116945,CW106332863,K093663.000,CW3306332863
004796921,T2452,CW110780877,K021512.000,CW3310780877
004780459,N27268,CW108724156,K015145.000,CW3308724156
004793538,T1731,CW114259377,K020981.000,CW3314259377
004813445,T161035,CW117196444,K117548.002,CW3317196871
004896980,T145745,CW101011383,K113361.000,CW3301011383
004809136,T5522,CW110471557,K023014.000,CW3310471557
004803333,T35155,CW106677745,K037129.000,CW3306677745
004866081,T102347,CW119606293,K082366.000,CW3319606293
004839949,T65262,CW111249667,K056178.001,CW3311249667
004884218,T126016,CW114435918,K100537.000,CW3314435918
004895777,T143983,CW105424901,K112156.000,CW3305424901
004808003,T42571,CW114135505,K041537.000,CW3314135505
004820948,T190913,CW102668780,K125097.000,CW3302668780
004793009,T16485,CW106673279,K028072.000,CW3306673279
004885962,T128528,CW124580475,K102286.000,CW3324580475
004799404,T2892,CW102001200,K021793.002,CW3300805668
004796735,T22929,CW110245626,K031299.000,CW3310245626
004903161,T50334,CW110934065,K046334.000,CW3310934065
004781973,N326,CW110593794,K000180.000,CW3310593794
004839906,T65212,CW118791408,K056135.000,CW3318791408
004778189,N22683,CW108126575,K013193.000,CW3308126575
004809126,T5512,CW113744420,K023005.005,CW3313744420
004851380,T82891,CW110493800,K067641.002,CW3310494159
004902879,T49863,CW106677155,K046052.000,CW3306677155
004823857,T209967,CW124497983,K128027.000,CW3324497983
004799765,T29583,CW115432875,K033853.000,CW3315432875
004858403,T92308,CW106029628,K074674.000,CW3306029628
004891920,T137103,CW107658227,K108270.000,CW3307658227
004792533,T14758,CW110645573,K027670.003,CW3310645959
004899850,T45161,CW114443267,K043021.000,CW3314443267
004806532,T40324,CW113470447,K040233.000,CW3313470447
004831970,T53617,CW112000554,K048186.000,CW3312000554
004891520,T136478,CW103806344,K107868.000,CW3303806344
004874849,T113864,CW112973763,K091154.001,CW3312973763
004836009,T59731,CW111801632,K052227.004,CW3311802576
004841432,T67127,CW124025586,K057665.002,CW3324026026
004895430,T143099,CW119519958,K111808.000,CW3319519958
004826650,T222842,CW109006130,K130910.000,CW3309006130
004780226,N26683,CW119328564,K014946.000,CW3319328564
004773628,N1476,CW109533911,K000913.000,CW3309533911
004834893,T58099,CW106677881,K051111.000,CW3306677881
004873234,T111674,CW106770672,K089537.000,CW3306770672
004814353,T165369,CW117059006,K118458.000,CW3317059006
004808023,T42593,CW110394998,K041555.000,CW3310394998
004832076,T53733,CW115950570,K048292.000,CW3315950570
004772607,N13484,CW116217636,K008295.003,CW3316218232
004841138,T66779,CW116497325,K057370.000,CW3316497325
004824394,T211464,CW107400174,K128576.000,CW3307400174
004789752,T10659,CW109380417,K025217.000,CW3309380417
004896390,T144899,CW101654241,K112771.000,CW3301654241
004775881,N1855,CW105398306,K001204.000,CW3305398306
004896414,T144948,CW113408123,K112795.001,CW3313408123
004833231,T55499,CW105704356,K049447.000,CW3305704356
004893915,T139872,CW110485311,K110277.000,CW3310485311
004782541,N3443,CW107406649,K002208.000,CW3307406649
004894051,T140064,CW115811323,K110414.002,CW3315811605
004809425,T5866,CW104236140,K023278.000,CW3304236140
004900011,T45427,CW116958363,K043182.000,CW3316958363
004821896,T195127,CW121299877,K126050.000,CW3321299877
004897225,T146096,CW108829870,K113606.002,CW3309311308
004861820,T96995,CW113948008,K078097.001,CW3313948008
004897239,T146114,CW101116617,K113620.000,CW3301116617
004861820,T96995,CW113948008,K078097.003,CW3313948567
004819606,T185724,CW108881880,K123738.000,CW3308881880
004901731,T48008,CW111464857,K044903.000,CW3311464857
004812574,T154622,CW105670917,K116675.000,CW3305670917
004802880,T34439,CW109973935,K036679.000,CW3309973935
004894667,T141022,CW102373845,K111040.002,CW3302374155
004811369,T150335,CW112845542,K115467.000,CW3312845542
004795100,T20118,CW104147582,K029857.000,CW3304147582
004903748,T51621,CW106814852,K046926.000,CW3306814852
004900518,T46273,CW113131388,K043689.000,CW3313131388
004842224,T68343,CW116578960,K058457.000,CW3316578960
004809011,T5380,CW102072674,K022898.000,CW3302072674
004897189,T146056,CW101873204,K113570.000,CW3301873204
004770555,N10736,CW108118213,K006421.000,CW3308118213
004896414,T144948,CW113408123,K112795.003,CW3313408737
004787574,N7196,CW109795017,K004329.000,CW3309795017
004809258,T5661,CW113549784,K023128.000,CW3313549784
004871219,T108995,CW105674049,K087514.000,CW3305674049
004809268,T5675,CW105492159,K023138.000,CW3305492159
004892937,T138546,CW110664577,K109292.002,CW3310664815
004772607,N13484,CW116217636,K008295.001,CW3316217636
004771396,N11920,CW111078083,K007192.000,CW3311078083
004802006,T32970,CW104432178,K035868.000,CW3304432178
004792446,T14669,CW123999320,K027590.000,CW3323999320
004892642,T138159,CW102746846,K108995.002,CW3302747242
004882044,T123117,CW117728531,K098362.000,CW3317728531
004787643,N7322,CW106554052,K004390.000,CW3306554052
004840505,T66001,CW111827649,K056734.000,CW3311827649
004809328,T5745,CW124763043,K023191.000,CW3324763043
004814238,T164973,CW106034989,K118343.000,CW3306034989
004834061,T56879,CW103788358,K050278.000,CW3303788358
004837680,T62068,CW114411031,K053907.001,CW3314411031
004772350,N1306,CW124700636,K000791.000,CW3324700636
004834051,T56866,CW106702668,K050268.000,CW3306702668
004843695,T70504,CW102560724,K059933.002,CW3302561017
004794946,T19858,CW116744931,K029722.000,CW3316744931
004904043,T52092,CW104983719,K047221.000,CW3304983719
004858359,T92237,CW113738860,K074630.000,CW3313738860
004808077,T42652,CW110621431,K041605.000,CW3310621431
004871920,T109901,CW106610789,K088215.000,CW3306610789
004909745,T6290,CW103471558,K023456.001,CW3303471558
004892649,T138168,CW104531629,K109003.000,CW3304531629
004805595,T38866,CW110292505,K039366.000,CW3310292505
004889574,T133666,CW114137215,K105913.000,CW3314137215
004836009,T59731,CW111801632,K052227.006,CW3311803180
004812871,T155370,CW112690614,K116972.000,CW3312690614
004882959,T124435,CW112006726,K099277.002,CW3312006969
004877616,T117249,CW103485860,K093930.000,CW3303485860
004892741,T138281,CW113047874,K109095.001,CW3313047874
004792522,T14747,CW116902156,K027660.001,CW3316902156
004837226,T61511,CW103811091,K053453.000,CW3303811091
004792533,T14758,CW110645573,K027670.001,CW3310645573
004806770,T40695,CW108426116,K040440.000,CW3308426116
004883011,T124524,CW114997195,K099329.000,CW3314997195
004836069,T59854,CW111618201,K052287.005,CW3310876622
004902251,T48897,CW118939400,K045423.000,CW3318939400
004882933,T124405,CW110073013,K099251.000,CW3310073013
004832613,T54523,CW110152553,K048829.000,CW3310152553
004858381,T92271,CW110341527,K074652.000,CW3310341527
004869659,T107045,CW112509540,K085950.000,CW3312509540
004805659,T38961,CW110483615,K039429.000,CW3310483615
004902261,T48908,CW120375103,K045433.000,CW3320375103
004844868,T72078,CW110142444,K061113.000,CW3310142444
004809942,T772,CW110245273,K020289.000,CW3310245273
004844858,T72067,CW113540684,K061103.000,CW3313540684
004828892,W20110,CW115460679,K133948.000,CW3315460679
004852594,T84443,CW106914534,K068860.000,CW3306914534
004787727,N7479,CW110108971,K004466.000,CW3310108971
004877219,T116781,CW110502728,K093533.000,CW3310502728
004903313,T50704,CW113806248,K046486.000,CW3313806248
004843341,T70026,CW112951955,K059580.001,CW3312951955
004872536,T110655,CW102307239,K088831.000,CW3302307239
004870449,T108054,CW117502473,K086741.000,CW3317502473
004777603,N2164,CW109771626,K001415.000,CW3309771626
004777285,N21158,CW112386587,K012406.000,CW3312386587
004771209,N11675,CW109783598,K007021.000,CW3309783598
004807728,T42129,CW100459132,K041295.000,CW3300459132
004875351,T114509,CW121113193,K091660.000,CW3321113193
004775536,N17869,CW125819306,K010899.000,CW3325819306
004904204,T52363,CW110143414,K047382.000,CW3310143414
004903511,T51037,CW107287100,K046688.000,CW3307287100
004879802,T120079,CW100171327,K096120.009,CW3301749531
004801705,T32518,CW110104566,K035585.000,CW3310104566
004877341,T116936,CW106335747,K093655.001,CW3306335747
004879802,T120079,CW100171327,K096120.008,CW3301749158
004836532,T60573,CW106803884,K052751.000,CW3306803884
004805706,T39044,CW110940383,K039474.000,CW3310940383
004856894,T90094,CW113112282,K073164.000,CW3313112282
004813445,T161035,CW117196444,K117548.001,CW3317196444
004879802,T120079,CW100171327,K096120.020,CW3301492430
004839797,T65046,CW107332225,K056026.000,CW3307332225
004903054,T50177,CW105564363,K046227.000,CW3305564363
004799732,T2953,CW103787174,K021812.000,CW3303787174
004821045,T191399,CW105759673,K125194.000,CW3305759673
004839949,T65262,CW111249667,K056178.002,CW3311249909
004839280,T64334,CW109366322,K055509.000,CW3309366322
004795986,T21565,CW116021588,K030629.000,CW3316021588
004779913,N260,CW110101055,K000152.000,CW3310101055
004810656,T935,CW105646380,K020428.000,CW3305646380
004778130,N22586,CW116115701,K013141.000,CW3316115701
004807703,T4210,CW105551469,K022258.000,CW3305551469
004878715,T118564,CW114145804,K095032.000,CW3314145804
004774449,N15849,CW105967113,K009959.000,CW3305967113
004808631,T4710,CW111471012,K022565.000,CW3311471012
004809973,T789,CW103806837,K020305.000,CW3303806837
004799404,T2892,CW102001200,K021793.001,CW3302001200
004878213,T117937,CW111648000,K094528.000,CW3311648000
004798529,T27507,CW123276975,K032774.000,CW3323276975
004832006,T53656,CW109733447,K048222.000,CW3309733447
004885292,T127593,CW114684988,K101613.000,CW3314684988
004900641,T46478,CW105107791,K043812.000,CW3305107791
004836069,T59854,CW111618201,K052287.004,CW3310876309
004776829,N20411,CW108560540,K012010.000,CW3308560540
004851380,T82891,CW110493800,K067641.001,CW3310493800
004817064,T177247,CW108385153,K121177.000,CW3308385153
004883280,T124869,CW110246333,K099598.000,CW3310246333
004844612,T71789,CW110272572,K060857.000,CW3310272572
004910692,W31989,CW109007872,K135767.000,CW3309007872
004863291,T98906,CW121089424,K079570.000,CW3321089424
004897258,T146140,CW105543877,K113639.000,CW3305543877
004878665,T118485,CW113574730,K094982.000,CW3313574730
004859210,T93466,CW105011351,K075481.000,CW3305011351
004895859,T144127,CW101530220,K112239.000,CW3301530220
004828444,T230316,CW107744278,K132743.000,CW3307744278
004841432,T67127,CW124025586,K057665.001,CW3324025586
004803620,T35621,CW110600190,K037413.000,CW3310600190
004901520,T47748,CW122796466,K044692.000,CW3322796466
004805611,T38887,CW113694645,K039382.000,CW3313694645
004874849,T113864,CW112973763,K091154.002,CW3313075933
004893348,T139076,CW116117794,K109708.003,CW3316117794
004793631,T1749,CW111512194,K020998.000,CW3311512194
004846552,T74528,CW115011961,K062800.000,CW3315011961
004814842,T167314,CW104259970,K118948.000,CW3304259970
004874881,T113901,CW109312786,K091186.001,CW3309312786
004878439,T118227,CW104606368,K094754.000,CW3304606368
004808068,T42644,CW116195562,K041597.000,CW3316195562
004796378,T22316,CW104142653,K030987.000,CW3304142653
004809310,T5725,CW111252252,K023175.000,CW3311252252
004795457,T20779,CW113178904,K030166.000,CW3313178904
004809299,T5712,CW116338637,K023165.000,CW3316338637
004802742,T34201,CW117059261,K036542.000,CW3317059261
004843039,T69544,CW105272427,K059276.000,CW3305272427
004892642,T138159,CW102746846,K108995.003,CW3302803994
004777310,N21184,CW112746771,K012429.000,CW3312746771
004835714,T59377,CW120894059,K051932.000,CW3320894059
004801808,T32706,CW111587578,K035681.000,CW3311587578
004896414,T144948,CW113408123,K112795.002,CW3313408413
004868667,T105741,CW103407483,K084956.000,CW3303407483
004903072,T50203,CW105071354,K046245.000,CW3305071354
004801971,T32933,CW110069554,K035835.000,CW3310069554
004807629,T42012,CW110254864,K041203.000,CW3310254864
004816861,T176551,CW107934794,K120974.000,CW3307934794
004897225,T146096,CW108829870,K113606.001,CW3309310884
004904542,P1759,CW105576307,K019651.000,CW3305576307
004807582,T41948,CW113877223,K041165.000,CW3313877223
004894051,T140064,CW115811323,K110414.001,CW3315811323
004850271,T81104,CW117488389,K066531.000,CW3317488389
004894667,T141022,CW102373845,K111040.003,CW3302374526
004833269,T55547,CW116499846,K049485.000,CW3316499846
004861820,T96995,CW113948008,K078097.002,CW3313948294
004891919,T137101,CW106252928,K108269.000,CW3306252928
004893163,T138835,CW103106085,K109521.000,CW3303106085
004900131,T45716,CW105678155,K043302.000,CW3305678155
004810310,T870,CW107921946,K020382.000,CW3307921946
004897225,T146096,CW108829870,K113606.005,CW3308936897
004818749,T182962,CW116887026,K122875.000,CW3316887026
004864211,T100015,CW111351419,K080492.000,CW3311351419
004772148,N1283,CW112745834,K000780.000,CW3312745834
004834062,T56881,CW105221026,K050279.000,CW3305221026
004773740,N1488,CW111153917,K000924.000,CW3311153917
004901991,T48439,CW112280884,K045163.000,CW3312280884
004802018,T32986,CW106191733,K035879.000,CW3306191733
004910016,N10696,CW104163068,K006382.002,CW3304163357
004773851,N1500,CW105901409,K000934.000,CW3305901409
004772255,N12956,CW102761244,K007986.001,CW3302761244
004792448,T14670,CW115644967,K027591.000,CW3315644967
004794856,T1943,CW114911106,K021151.001,CW3314911106
004841431,T67126,CW105600752,K057664.000,CW3305600752
004853685,T85825,CW103988619,K069952.000,CW3303988619
004896109,T144509,CW105209516,K112489.000,CW3305209516
004885860,T128392,CW109698462,K102183.002,CW3309698462
004818888,T183443,CW107743010,K123014.000,CW3307743010
004798020,T26862,CW110564440,K032311.000,CW3310564440
004869667,T107055,CW110965243,K085958.003,CW3310965759
004821923,T195204,CW108702432,K126077.000,CW3308702432
004772607,N13484,CW116217636,K008295.004,CW3316218511
004803579,T35551,CW106674457,K037372.000,CW3306674457
004797478,T2583,CW104362574,K021557.000,CW3304362574
004822726,T199688,CW108702811,K126886.000,CW3308702811
004802665,T34046,CW110074602,K036466.000,CW3310074602
004897166,T146028,CW113140669,K113547.002,CW3313140936
004809803,T726,CW116092836,K020253.000,CW3316092836
004809269,T5677,CW114970895,K023139.000,CW3314970895
004836009,T59731,CW111801632,K052227.003,CW3311802317
004809259,T5663,CW111652046,K023129.000,CW3311652046
004783302,N38095,CW116910434,K017275.002,CW3316910434
004864839,T100785,CW106144110,K081121.000,CW3306144110
004864036,T99798,CW105000764,K080316.000,CW3305000764
004850386,T81254,CW107039931,K066646.001,CW3307039931
004897190,T146057,CW102209482,K113571.000,CW3302209482
004813652,T162248,CW116021603,K117757.000,CW3316021603
004800431,T30776,CW110072043,K034431.000,CW3310072043
004817446,T178476,CW115661626,K121560.000,CW3315661626
004843083,T69598,CW119101676,K059320.000,CW3319101676
004851380,T82891,CW110493800,K067641.005,CW3311093518
004830824,W30060,CW112941801,K135535.000,CW3312941801
004885348,T127663,CW103187052,K101669.002,CW3303187350
004783648,N4058,CW122308982,K002616.000,CW3322308982
004870458,T108063,CW120539036,K086750.000,CW3320539036
004890962,T135640,CW111123857,K107303.000,CW3311123857
004862212,T97491,CW113356661,K078489.001,CW3313356661
004813010,T155694,CW117197292,K117112.000,CW3317197292
004795449,T20770,CW113956230,K030158.000,CW3313956230
004903324,T50718,CW113006716,K046497.000,CW3313006716
004775359,N17467,CW113001308,K010754.000,CW3313001308
004810089,T83,CW111071488,K019862.000,CW3311071488
004869971,T107448,CW110761334,K086263.000,CW3310761334
004846698,T74904,CW120837083,K062946.000,CW3320837083
004884347,T126164,CW113283199,K100666.000,CW3313283199
004784538,N462,CW110184085,K000268.000,CW3310184085
004801443,T32142,CW116499312,K035335.000,CW3316499312
004781319,N29953,CW116634781,K015852.000,CW3316634781
004775284,N17312,CW111777690,K010695.000,CW3311777690
004845028,T72258,CW104574112,K061274.000,CW3304574112
004846639,T74642,CW109734876,K062887.000,CW3309734876
004899063,T43821,CW113258922,K042231.000,CW3313258922
004879802,T120079,CW100171327,K096120.018,CW3300173992
004805299,T38436,CW101692400,K039073.000,CW3301692400
004841176,T66823,CW104056217,K057408.000,CW3304056217
004802578,T33873,CW117473045,K036380.000,CW3317473045
004806457,T40194,CW100910692,K040172.000,CW3300910692
004834156,T57007,CW116990966,K050373.000,CW3316990966
004807961,T42497,CW110253919,K041500.000,CW3310253919
004815642,T171115,CW106865471,K119752.000,CW3306865471
004844867,T72077,CW113540475,K061112.000,CW3313540475
004790113,T11253,CW110896793,K025532.001,CW3310896793
004809952,T782,CW113791952,K020298.000,CW3313791952
004833425,T55737,CW109607653,K049641.000,CW3309607653
004776504,N19735,CW104904116,K011730.000,CW3304904116
004777995,N22329,CW109560455,K013028.000,CW3309560455
004822249,T196353,CW115800305,K126403.000,CW3315800305
004889672,T133796,CW108755027,K106011.000,CW3308755027
004778007,N22368,CW112847753,K013038.000,CW3312847753
004794410,T18521,CW113392890,K029296.000,CW3313392890
004879802,T120079,CW100171327,K096120.019,CW3304399185
004771313,N11821,CW109383680,K007115.000,CW3309383680
004863316,T98935,CW112426261,K079595.001,CW3312426261
004842926,T69381,CW121269841,K059163.000,CW3321269841
