datefield,shelfmarks,title,publisher,edition,flickr_url_to_book_images,place,issuance,authors,identifier,corporate,date
1789?],b'British Library HMNTS 1077.k.14.',b'Each Side of the Gutter; or fugitive pieces. Published in Dublin in January and February 1789',b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003377687',b'London?',b'monographic',b'',b'003377687',b'',b'1789'
1796,b'British Library HMNTS 992.h.23.(3.)',"b'Letters from Simpkin the Second, to his brother Simon, in Wales: dedicated without permission, to the ancient and respectable family of the Grunters. [A satire in verse, on Edmund Burke.]'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003391083',b'London',b'monographic',b'',b'003391083',b'',b'1796'
1795,b'British Library HMNTS 644.k.24.(8.)',"b""A Sketch of the Campaign of 1793. Part I. Letters from an Officer of the Guards, on the Continent, to a friend in Devonshire. Part II. A Series of letters from one of the Commander in Chief's Aide de Camps ... to Miss Lucy Lovegrove. [In verse.]""",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003402320',b'London',b'monographic',b'',b'003402320',b'',b'1795'
1797,"b'British Library HMNTS 12271.s.1.,British Library HMNTS 92.e.1-8.'","b'The works of Tobias Smollett, M.D. With memoirs of his life; to which is prefixed, A view of the commencement and progress of romance, by John Moore,Collections'",b'London',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003426314',"b'B. Law, etc'",b'monographic',"b'contributor,creator'",b'003426314',b'',b'1797'
1799,b'British Library HMNTS 11641.bbb.33.',"b'Original Sonnets, elegiac, ethic and erotic: with some miscellaneous productions and imitations'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003441431',b'Whitby',b'monographic',b'',b'003441431',b'',b'1799'
1793,b'British Library HMNTS 992.h.22.(3.)',b'The South Downs. A poem. [With notes.]',b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003447337',b'London',b'monographic',b'',b'003447337',b'',b'1793'
1796,b'British Library HMNTS 643.l.1.(2.)',"b'Joan of Arc, an epic poem,Joan of Arc'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003448674',b'Bristol',b'monographic',b'creator',b'003448674',b'',b'1796'
1790,"b'British Library HMNTS 643.h.4.(1.),British Library HMNTS 162.e.6.'","b'Elmira; a dramatick poem [in five acts], with Thoughts on Tragedy'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003478628',b'Norwich',b'monographic',b'creator',b'003478628',b'',b'1790'
1794,b'British Library HMNTS 644.k.21.(5.)',b'Odes',b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003496675',b'London',b'monographic',b'creator',b'003496675',b'',b'1794'
1789,b'British Library HMNTS 11643.h.4.',"b'Redemption, a poem in five books. [Edited by C. E. De Coetlogon.]'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003550295',b'London',b'monographic',"b'contributor,creator'",b'003550295',b'',b'1789'
1795,b'British Library HMNTS 993.l.5.',b'Verses on various occasions',b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003589593',b'London',b'monographic',b'creator',b'003589593',b'',b'1795'
1798,b'British Library HMNTS 11643.g.6.',"b'Thalia to Eliza: a poetical epistle from the Comic Muse to the Countess of D-[i.e. Eliza Stanley, Countess of Derby, on her theatrical career]. In which various eminent dramatic and political characters are displayed'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003605850',b'London',b'monographic',b'',b'003605850',b'',b'1798'
