in,NULL
the,NULL
Strand,NULL
strand,NULL
sold,NULL
by,NULL
jun,Jr.
Jun,Jr.
junr,Jr.
Edinburgh,NULL
&,;
MDCCXCV,NULL
at,NULL
drawback,NULL
Gough Square,NULL
